Promotion Seen,Timestamp
FollowingFeedDoradoCooldownSix,1709820386
FollowingFeedDoradoCooldownSix,1709938437
FollowingFeedDoradoCooldownSix,1710092393
FollowingFeedDoradoCooldownSix,1710145257
FollowingFeedDoradoCooldownSix,1723808297
FollowingFeedDoradoCooldownSix,1723811611
FollowingFeedDoradoCooldownSix,1723815200
FollowingFeedDoradoCooldownSix,1723815965
FollowingFeedDoradoCooldownSix,1723816022
FollowingFeedDoradoCooldownSix,1723816163
FollowingFeedDoradoCooldownSix,1723817786
FollowingFeedDoradoCooldownSix,1723817815
ActivitySaveWalkthrough,1688463058
NewTermsOfService,1688483391
NewTermsOfService,1709719339
SuggestedRoutesInFeed,1693696264
SuggestedRoutesInFeed,1693702829
SuggestedRoutesInFeed,1709788111
SuggestedRoutesInFeed,1709820386
SuggestedRoutesInFeed,1709938437
SuggestedRoutesInFeed,1710092393
SuggestedRoutesInFeed,1723682156
SuggestedRoutesInFeed,1723693911
SuggestedRoutesInFeed,1723693912
SuggestedRoutesInFeed,1723808297
SuggestedRoutesInFeed,1723811611
SuggestedRoutesInFeed,1723815200
SuggestedRoutesInFeed,1723815965
SuggestedRoutesInFeed,1723816022
SuggestedRoutesInFeed,1723816163
SuggestedRoutesInFeed,1723817786
SuggestedRoutesInFeed,1723817815
YouTabProfileMove,1709719741
RecordScreenSpotifyCoachmark,1709719744
ChatShareActivityInMessageCoachmark,1709722644
ChatFeatureTryCtaImpression,1709719339
ChatFeatureTryCtaImpression,1713071718
FlyoverEducationCoachmark,1709722652
YiSFeedCarousel2023,1704161970
ADPHalfsheetUpsell,1709722673
ActivityDetailsShareCoachmark,1714928068
ActivityQuickEdit,1723217955
ActivityQuickEdit,1723217973
ActivityQuickEdit,1723217978
ActivityQuickEdit,1723217987
ActivityQuickEdit,1723218032
ActivityQuickEdit,1723218071
ActivityQuickEdit,1723225733
ActivityQuickEdit,1723225736
ActivityQuickEdit,1723385737
ActivityQuickEdit,1723389608
ActivityQuickEdit,1723389620
ActivityQuickEdit,1723389631
ActivityQuickEdit,1723389655
ActivityQuickEdit,1723389665
ActivityQuickEdit,1723389669
ActivityQuickEdit,1723389672
ActivityQuickEdit,1723389689
ActivityQuickEdit,1723394046
ActivityQuickEdit,1723394100
ActivityQuickEdit,1723394130
ActivityQuickEdit,1723394147
ActivityQuickEdit,1723422208
ActivityQuickEdit,1723422213
ActivityQuickEdit,1723434290
ActivityQuickEdit,1723434295
ActivityQuickEdit,1723434349
ActivityQuickEdit,1723434364
ActivityQuickEdit,1723475519
ActivityQuickEdit,1723604207
ActivityQuickEdit,1723604208
ActivityQuickEdit,1723643230
ActivityQuickEdit,1723643258
ActivityQuickEdit,1723643274
ActivityQuickEdit,1723643282
ActivityQuickEdit,1723643287
ActivityQuickEdit,1723643311
ActivityQuickEdit,1723643328
ActivityQuickEdit,1723643346
ActivityQuickEdit,1723643349
ActivityQuickEdit,1723643364
ActivityQuickEdit,1723643374
ActivityQuickEdit,1723643378
ActivityQuickEdit,1723643570
ActivityQuickEdit,1723643601
ActivityQuickEdit,1723646181
ActivityQuickEdit,1723646182
ActivityQuickEdit,1723651454
ActivityQuickEdit,1723682159
ActivityQuickEdit,1723693912
ActivityQuickEdit,1723693914
ActivityQuickEdit,1723693924
ActivityQuickEdit,1723811622
ActivityQuickEdit,1723815967
ActivityQuickEdit,1723816021
ActivityQuickEdit,1723816164
ActivityQuickEdit,1723816170
ActivityQuickEdit,1723816283
CelebrationNthActivity200,1714928070
CelebrationNthActivity250,1723209750
MapsRedesignModalUnseen,1714927592
MapRedesignTooltipSavedUnseen,1715728430
MapRedesignTooltipSearchBarUnseen,1719051492
MapRedesignTooltipSearchBarUnseen,1719051629
MapRedesignTooltipSearchBarUnseen,1719235687
MapRedesignTooltipSearchHereUnseen,1719675890
MapRedesignTooltipMapOnly,1720935614
VerifiedSegmentsInfoCoachmark,1722180216
HideStartTime,1720195214
ActivityQuickEditADP,1723217987
ActivityQuickEditADP,1723218032
ActivityQuickEditADP,1723389631
ActivityQuickEditADP,1723389655
ActivityQuickEditADP,1723389665
ActivityQuickEditADP,1723389669
ActivityQuickEditADP,1723389672
ActivityQuickEditADP,1723389689
ActivityQuickEditADP,1723643328
ActivityQuickEditADP,1723643346
ActivityQuickEditADP,1723643349
ActivityQuickEditADP,1723643364
ActivityQuickEditADP,1723643374
ActivityQuickEditADP,1723643378
ActivityQuickEditADP,1723643570
ActivityQuickEditADP,1723816170
ActivityQuickEditADP,1723816283
GeoSportSpecificHeatmapTwo,1722901780
